codigo,descricao
302010200,Rua e estrada - superficie utilizada para sustentar pessoas
302010250,Calcada ou caminho para pedestre - superficie utilizada para sustentar pessoas
302010300,Piso de edificio - superficie utilizada para sustentar pessoas
302010350,"Escada permanente cujos degraus permitem apoio integral do pe, degrau - superficie utilizada para sustentar pessoas"
302010400,Rampa - superficie utilizada para sustentar pessoas
302010450,Passarela ou plataforma permanentes - superficie utilizada para sustentar pessoas
302010500,Piso de mina - superficie utilizada para sustentar pessoas
302010550,Chao - superficie utilizada para sustentar pessoas
302010600,Piso de andaime e plataforma desmontavel - superficie utilizada para sustentar pessoas
302010650,Piso de veiculo - superficie utilizada para sustentar pessoas
302010700,Telhado
302010900,"Superficie de sustentacao, NIC - superficie utilizada para sustentar pessoas"
302030900,"Escada movel ou fixada, NIC"
302050100,Edificio - edificio ou estrutura
302050200,"Deposito fixo (tanque, silo, paiol, etc.) - edificio ou estrutura"
302050300,"Cais, doca - edificio ou estrutura"
302050400,"Dique, barragem - edificio ou estrutura"
302050500,"Ponte, viaduto - edificio ou estrutura"
302050600,"Arquibancada, estadio - edificio ou estrutura"
302050700,"Andaime, plataforma - edificio ou estrutura"
302050800,"Torre, poste - edificio ou estrutura"
302050900,"Edificio ou estrutura (exceto piso, superficie de sustentacao ou area de circulacao), NIC"
302070100,"Escavacao (para edificio, estrada, etc.)"
302070300,"Canal, fosso"
302070500,"Poco, entrada, galeria, etc., de mina"
302070700,Tunel
302070900,"Escavacao, fosso, tunel, NIC"
302090000,"Superficie e estrutura, NIC"
303010040,"Martelo, malho, marreta - ferramenta manual sem forca motriz"
303010080,"Machadinha, enxo - ferramenta manual sem forca motriz"
303010120,"Faca, facao - ferramenta manual sem forca motriz"
303010160,"Tesoura, tesourao - ferramenta manual sem forca motriz"
303010200,"Formao, cinzel - ferramenta manual sem forca motriz"
303010240,"Serra, serrote - ferramenta manual sem forca motriz"
303010280,"Alicate, torques, tenaz - ferramenta manual sem forca motriz"
303010320,Plaina - ferramenta manual sem forca motriz
303010360,"Lima, grosa - ferramenta manual sem forca motriz"
303010400,"Puncao, ponteiro, vazador, talhadeira - ferramenta manual sem forca motriz"
303010440,"Pua, trado, verruma, maquina de furar manual - ferramenta manual sem forca motriz"
303010480,Chave de parafuso - ferramenta manual sem forca motriz
303010520,"chave de porca ou de abertura regulavel, chave de boca - ferramenta manual sem forca motriz"
303010560,"Alavanca, pe-de-cabra - ferramenta manual sem forca motriz"
303010600,"Corda, cabo, corrente - ferramenta manual sem forca motriz"
303010640,Machado - ferramenta manual sem forca motriz
303010680,"Enxada, enxadao, sacho - ferramenta manual sem forca motriz"
303010720,"Pa, cavadeira - ferramenta manual sem forca motriz"
