SUBCAT,DESCRICAO
A000,Colera devida a Vibrio cholerae 01 biotipo cholerae
A001,Colera devida a Vibrio cholerae 01 biotipo El Tor
A009,Colera nao especificada
A010,Febre tifoide
A011,Febre paratifoide A
A012,Febre paratifoide B
A013,Febre paratifoide C
A014,Febre paratifoide nao especificada
A020,Enterite por salmonela
A021,Septicemia por salmonela
A022,Infeccoes localizadas por salmonela
A028,Outras infeccoes especificadas por salmonela
A029,Infeccao nao especificada por salmonela
A030,Shiguelose devida a Shigella dysenteriae
A031,Shiguelose devida a Shigella flexneri
A032,Shiguelose devida a Shigella boydii
A033,Shiguelose devida a Shigella sonnei
A038,Outras shigueloses
A039,Shiguelose nao especificada
A040,Infeccao por Escherichia coli enteropatogenica
A041,Infeccao por Escherichia coli enterotoxigenica
A042,Infeccao por Escherichia coli enteroinvasiva
A043,Infeccao por Escherichia coli enterohemorragica
A044,Outras infeccoes intestinais por Escherichia coli
A045,Enterite por Campylobacter
A046,Enterite devida a Yersinia enterocolitica
A047,Enterocolite devida a Clostridium difficile
A048,Outras infeccoes bacterianas intestinais especificadas
A049,Infeccao intestinal bacteriana nao especificada
A050,Intoxicacao alimentar estafilococica
A051,Botulismo
A052,Intoxicacao alimentar devida a Clostridium perfringens Clostridium welchii
A053,Intoxicacao alimentar devida a Vibrio parahemolyticus
A054,Intoxicacao alimentar devida a Bacillus cereus
A058,Outras intoxicacoes alimentares bacterianas especificadas
A059,Intoxicacao alimentar bacteriana nao especificada
A060,Disenteria amebiana aguda
A061,Amebiase intestinal cronica
A062,Colite amebiana naodisenterica
A063,Ameboma intestinal
A064,Abscesso amebiano do figado
A065,Abscesso amebiano do pulmao
A066,Abscesso amebiano do cerebro
A067,Amebiase cutanea
A068,Infeccao amebiana de outras localizacoes
A069,Amebiase nao especificada
A070,Balantidiase
A071,Giardiase lambliase
A072,Criptosporidiose
A073,Isosporiase
A078,Outras doencas intestinais especificadas por protozoarios
A079,Doenca intestinal nao especificada por protozoarios
A080,Enterite por rotavirus
A081,Gastroenteropatia aguda pelo agente de Norwalk
A082,Enterite por adenovirus
A083,Outras enterites virais
