codigo;descricao
01;AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS
02;PRODUCAO FLORESTAL
03;PESCA E AQUICULTURA
05;EXTRACAO DE CARVAO MINERAL
06;EXTRACAO DE PETROLEO E GAS NATURAL
07;EXTRACAO DE MINERAIS METALICOS
08;EXTRACAO DE MINERAIS NAO METALICOS
09;ATIVIDADES DE APOIO A EXTRACAO DE MINERAIS
10;FABRICACAO DE PRODUTOS ALIMENTICIOS
11;FABRICACAO DE BEBIDAS
12;FABRICACAO DE PRODUTOS DO FUMO
13;FABRICACAO DE PRODUTOS TEXTEIS
14;CONFECCAO DE ARTIGOS DO VESTUARIO E ACESSORIOS
15;PREPARACAO DE COUROS E FABRICACAO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALCADOS
16;FABRICACAO DE PRODUTOS DE MADEIRA
17;FABRICACAO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
18;IMPRESSAO E REPRODUCAO DE GRAVACOES
19;FABRICACAO DE COQUE, DE PRODUTOS DERIVADOS DO PETROLEO E DE BIOCOMBUSTIVEIS
20;FABRICACAO DE PRODUTOS QUIMICOS
21;FABRICACAO DE PRODUTOS FARMOQUIMICOS E FARMACEUTICOS
22;FABRICACAO DE PRODUTOS DE BORRACHA E DE MATERIAL PLASTICO
23;FABRICACAO DE PRODUTOS DE MINERAIS NAO METALICOS
24;METALURGIA
25;FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS
26;FABRICACAO DE EQUIPAMENTOS DE INFORMATICA, PRODUTOS ELETRONICOS E OPTICOS
27;FABRICACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS
28;FABRICACAO DE MAQUINAS E EQUIPAMENTOS
29;FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS
30;FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES
31;FABRICACAO DE MOVEIS
32;FABRICACAO DE PRODUTOS DIVERSOS
33;MANUTENCAO, REPARACAO E INSTALACAO DE MAQUINAS E EQUIPAMENTOS
35;ELETRICIDADE, GAS E OUTRAS UTILIDADES
36;CAPTACAO, TRATAMENTO E DISTRIBUICAO DE AGUA
37;ESGOTO E ATIVIDADES RELACIONADAS
38;"COLETA, TRATAMENTO E DISPOSICAO DE RESIDUOS; RECUPERACAO DE MATERIAIS"
39;DESCONTAMINACAO E OUTROS SERVICOS DE GESTAO DE RESIDUOS
41;CONSTRUCAO DE EDIFICIOS
42;OBRAS DE INFRAESTRUTURA
43;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO
