"id","estado","setor","insight","total_acidentes"
1,"ACRE","AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS","O setor de agricultura, pecuária e serviços relacionados no estado do Acre apresenta um risco significativo de lesões causadas por animais vivos, como é o caso da fratura de dedo registrada em Bujari. Isso sugere que a falta de treinamento ou inexperiência em lidar com animais pode ser uma anomalia que afeta a segurança dos trabalhadores nesse setor.",1
2,"ACRE","ALOJAMENTO","A análise dos acidentes de trabalho no setor ""ALOJAMENTO"" do estado Acre revela que o maior risco para os trabalhadores está relacionado à mobilidade e transporte, com uma frequência elevada de lesões decorrentes de acidentes envolvendo motocicletas e motonetas, especialmente em localidades como Cruzeiro do Sul. Isso sugere a necessidade de implementação de medidas de segurança específicas para esse tipo de risco, como treinamento para os trabalhadores que utilizam essas formas de transporte.",1
3,"ACRE","ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE","A análise dos acidentes de trabalho no estado Acre, especificamente no setor de atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde, revela um padrão preocupante de lesões relacionadas a quedas, especialmente nas superfícies utilizadas para sustentar pessoas, como o chão. Isso sugere que a falta de segurança em locais de trabalho ou a inadequação de medidas preventivas podem estar contribuindo para este tipo de acidentes.",1
4,"ACRE","ATIVIDADES DE ATENCAO A SAUDE HUMANA","A análise dos acidentes de trabalho no setor ""ATIVIDADES DE ATENCAO A SAUDE HUMANA"" no estado do Acre revela um padrão preocupante de lesões imediatas e fraturas, especialmente nos dedos e membros superiores. Além disso, a maioria dos acidentes é relacionada ao contato com objetos cortantes ou penetrantes, agulhas hipodermicas e produtos químicos, o que sugere um risco significativo de exposição a substâncias tóxicas ou perigosas no local de trabalho.",17
15705,"PARÁ","SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS","A análise dos acidentes de trabalho no setor ""Serviços para Edifícios e Atividades Paisagísticas"" no estado do Pará revela que os principais riscos estão relacionados à exposição a agentes mecânicos (serras, guindastes) e materiais (cerâmica, vidro), principalmente em Belém.",24
21,"ACRE","ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS","Com base nos dados, é possível identificar que o setor de ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS no estado Acre apresenta um padrão de acidentes de trabalho relacionados à manipulação e movimentação de materiais e objetos, como frutas e embalagens. Além disso, a análise sugere que os trabalhadores do sexo masculino estão mais propensos a sofrer lesões nesse setor, principalmente afetando as mãos e pés.",2
23,"ACRE","ATIVIDADES DE SERVICOS FINANCEIROS","A análise dos acidentes de trabalho no setor 'ATIVIDADES DE SERVICOS FINANCEIROS' no estado ACRE revela um padrão preocupante: a maior parte dos casos envolve veículos, o que sugere uma vulnerabilidade à exposição a riscos relacionados ao transporte e mobilidade. Além disso, a lesão mais comum é a contusão, indicando que os trabalhadores do setor podem estar expostos a situações de alta movimentação e estresse.",2
25,"ACRE","ATIVIDADES DE VIGILANCIA, SEGURANCA E INVESTIGACAO","A análise dos acidentes de trabalho no setor ""ATIVIDADES DE VIGILANCIA, SEGURANCA E INVESTIGACAO"" no estado Acre revela que os principais riscos são relacionados à movimentação de veículos e ao uso da motocicleta, o que levou a uma alta taxa de lesões imediatas e óbitos. Além disso, é possível identificar um padrão de concentração de acidentes em Río Branco, sugerindo a necessidade de intervenções específicas para reduzir esses riscos naquela região.",4
43,"ACRE","COMERCIO VAREJISTA","A análise dos acidentes de trabalho no setor ""COMERCIO VAREJISTA"" no estado ACRE revela um cenário preocupante, com uma predominância de lesões relacionadas a equipamentos manuais (como serras e facas) e veículos motorizados. Isso sugere que os riscos associados à falta de treinamento ou uso inadequado desses agentes podem ser significativos nesse setor.",11
29,"ACRE","COLETA, TRATAMENTO E DISPOSICAO DE RESIDUOS; RECUPERACAO DE MATERIAIS","A análise dos acidentes de trabalho no setor ""COLETA, TRATAMENTO E DISPOSICAO DE RESIDUOS; RECUPERACAO DE MATERIAIS"" no estado Acre revela um padrão preocupante: a falta de atenção às condições de segurança e proteção nos locais de trabalho, levando a lesões graves e frequentemente relacionadas à perda de controle sobre máquinas ou objetos. Além disso, há uma alta probabilidade de acidentes relacionados ao uso de veículos e à falta de atenção às condições de circulação.",8
37,"ACRE","COMERCIO E REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS","Baseado nos dados, observa-se que o setor de Comércio e Reparação de Veículos Automotivos e Motocicletas no estado do Acre apresenta um risco significativo de lesões ao pé (perna) relacionadas a acidentes com veículos rodoviários motorizados. Isso sugere uma necessidade de reforço na segurança dos trabalhadores envolvidos em atividades que envolvem a manipulação ou manutenção de veículos, especialmente no que se refere à proteção das pernas e pés.",2
39,"ACRE","COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS","A análise dos acidentes de trabalho no setor ""COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS"" no estado Acre revela que os principais riscos são relacionados ao uso inadequado de equipamentos e máquinas, como empilhadeira e escada móvel ou fixada. Além disso, a análise indica que a lesão mais comum é a luxação, especialmente na perna e no punho.",4
54,"ACRE","CONSTRUCAO DE EDIFICIOS","Com base nos dados, é possível identificar que o setor de construção de edifícios no estado do Acre apresenta um risco significativo de lesões ao pé e perna, especialmente fraturas da diáfise da tibia. Além disso, a análise sugere que a utilização de veículos, como motocicletas e motoristas, é um fator contributivo para esses acidentes.",2
